"","year","success","obs_cpue","index","index_CV","lower_CL","upper_CL"
"1",1993,0.0469667318982387,0.189369080369714,0.381956014946548,0.227290715126808,0.244648831665453,0.596325747238175
"2",1994,0.0620347394540943,0.451225940638265,0.616628817521429,0.232341283798285,0.39107005086537,0.972283860030935
"3",1995,0.0876777251184834,0.350215770839238,0.358789553221127,0.215581766030181,0.235145275494522,0.547448564424229
"4",1996,0.0970873786407767,1.03614825247822,1.3802535879548,0.251376017818656,0.843309961603197,2.25907442554142
"5",1997,0.0887372013651877,0.37690382898827,0.528503968559985,0.248786518370476,0.324549380453653,0.860628494786302
"6",1998,0.100917431192661,1.35529096816104,2.3060667497187,0.229710868333495,1.47008223108856,3.61744652217203
"7",1999,0.178181818181818,1.0236084016904,0.83686692096389,0.207080866053371,0.557684852982649,1.25581005052933
"8",2000,0.0945558739255014,0.55644029671127,0.89261375465865,0.22805606545578,0.570876150586997,1.39567805413933
"9",2001,0.0879120879120879,0.66954495377405,1.28284174934896,0.220459676749648,0.832755420577754,1.97619002315345
"10",2002,0.0284810126582278,0.0970631313283747,0.298196152765145,0.398695618670084,0.136499704165206,0.651436910195149
"11",2003,0.0893970893970894,0.313157181167095,1.13211766203232,0.208772309038695,0.751941845916081,1.70450734674044
"12",2004,0.163963963963964,1.79504527622209,1.45107200196083,0.17295657514248,1.03387505973187,2.03661935265243
"13",2005,0.162568306010929,1.7146438758801,1.42514723295955,0.162512408666221,1.03640361914205,1.95970430641066
"14",2006,0.143724696356275,3.10153459010737,1.99278870594198,0.176156932595676,1.41096486813569,2.8145327472094
"15",2007,0.158878504672897,1.24860975223008,1.10382053034408,0.160269819867613,0.806262664407489,1.51119457342661
"16",2008,0.163562753036437,1.11965869262672,0.969817923388619,0.151364042031266,0.720856634616953,1.30476263844835
"17",2009,0.191988950276243,1.46582160901542,1.14743978024506,0.143929244470474,0.865400431136655,1.52139749637
"18",2010,0.137513751375138,0.930403584511721,0.695732636086968,0.155664053373103,0.512791589674072,0.943938845066038
"19",2011,0.173482032218092,2.20983705726832,2.10649490367075,0.153116016196913,1.56037083209991,2.84376039842991
"20",2012,0.172139303482587,2.32160470242064,1.41799341958267,0.144834007214065,1.06755752215346,1.88346322915116
"21",2013,0.121593291404612,0.776972025593429,0.616527089806183,0.147693281382609,0.461567705501833,0.823510067827681
"22",2014,0.120898100172712,0.690590192282634,0.583041061269723,0.154881836377047,0.430391299491131,0.789832135381096
"23",2015,0.139112903225806,1.20068289439367,0.840225267770308,0.156232473207348,0.618600711915396,1.14125070825369
"24",2016,0.213768115942029,1.99489517824531,1.34201799061826,0.145521426649374,1.00899792923377,1.78495142057501
"25",2017,0.1267252195734,0.904073745955058,0.87566129688929,0.170668143249936,0.626705012036706,1.22351455970951
"26",2018,0.103186646433991,0.550391315489344,0.616877080074468,0.183490389534126,0.430537844022189,0.883865000962819
"27",2019,0.10482180293501,0.52361547097599,0.853240026227677,0.19962476101993,0.576966125343417,1.26180465434376
"28",2020,0.0540540540540541,0.179239440804842,0.439930323930701,0.269504956131191,0.259406505863519,0.746082636861846
"29",2021,0.0821256038647343,0.399889129334148,0.672935999174388,0.232694865051729,0.426484776564413,1.06180310264003
"30",2022,0.105485232067511,0.697656138200755,1.02951207212538,0.193931584218052,0.703973935524053,1.50558856396138
"31",2023,0.08,1.13040753310755,0.904425496489295,0.186389343369497,0.627650530516902,1.30324988019409
"32",2024,0.1175,0.62545998918888,0.90046422975226,0.204746435105601,0.602817683791124,1.34507638190701
